"TCF15","IFI44","SDCBP"
-1.45769,0.01012,-0.54492
-0.63391,0.46995,0.3186
-0.65668,0.64433,-0.43144
-0.64215,-0.2813,-1.09819
-1.42668,-0.43392,-0.06678
-0.69242,-0.18202,-1.21719
-0.34168,0.08127,-0.81976
-0.43645,-0.0779,-0.49746
-1.06608,0.06878,-0.39629
0.01014,0.08248,-0.06311
-0.74919,0.05387,0.19374
-0.70522,-0.30212,-0.91336
-0.42962,-0.1384,0.02127
-0.78299,-0.28596,-0.12172
-0.76196,-0.63403,-0.69968
-0.04426,0.03163,-0.06833
-0.53094,0.16973,0.16002
-0.32576,-0.17952,0.51131
-0.36648,-0.00149,-0.90501
-0.15439,0.00409,-0.38463
0.08055,1.28835,0.44268
-0.48854,0.05694,-0.64109
-0.68619,0.43808,-0.84237
0.1459,0.15363,0.14331
-0.28443,0.88692,-0.26225
-1.27981,1.01375,-0.1165
