p,x,y,z
1,28.5,34.8,-6.3
2,26.6,37.3,-10.7
3,28.6,31.3,-2.7
4,22.1,24.4,-2.3
5,32.4,39.5,-7.1
6,33.2,34,-0.8
7,32.9,33.4,-0.5
8,27.9,27.4,0.5
9,26.8,35.4,-8.6
10,30.7,35.7,-5
11,39.6,40.4,-0.8
12,34.9,41.6,-6.7
13,31.1,30.8,0.3
14,21.6,30.5,-8.9
15,40.2,40.7,-0.5
16,38.9,39.9,-1
17,31.6,30.2,1.4
18,36,34.5,1.5
19,25.4,31.2,-5.8
20,35.6,35.5,0.1
21,27,25.3,1.7
22,33.1,34.5,-1.4
23,28.7,30.9,-2.2
24,33.7,31.9,1.8
25,33.7,36.9,-3.2
26,34.3,27.8,6.5
27,32.6,35.7,-3.1
28,34.5,38.4,-3.9
29,32.9,36.7,-3.8
30,29.3,36.3,-7
31,35.2,38.1,-2.9
32,29.8,32.1,-2.3
33,26.1,29.1,-3
34,25.6,33.5,-7.9
35,27.6,28.7,-1.1
36,25.1,31.4,-6.3
37,23.7,22.4,1.3
38,36.3,43.7,-7.4
39,33.4,30.8,2.6
40,40.1,40.8,-0.7
