"ZYX"	"FAH"	"APLP2"
"ALL1"	-0.45048	0.27455	0.89683
"ALL2"	-0.40103	0.86524	0.099
"ALL3"	-0.47039	0.78329	-0.70734
"ALL4"	0.40914	0.66987	0.52729
"ALL5"	0.39313	0.4175	0.67639
"ALL6"	-0.37782	0.57717	-0.00771
"ALL7"	-1.37386	0.628	-0.22007
"ALL8"	-1.36832	0.92486	-1.36832
"ALL9"	-1.47649	0.31559	-0.514
"ALL10"	0.25025	0.79047	-0.33662
"AML28"	1.39015	1.26062	0.93911
"AML29"	2.18299	1.52186	1.79967
"AML30"	2.11036	1.21906	1.86284
"AML31"	1.18947	1.19351	0.81357
"AML32"	1.68223	0.98613	1.32525
"AML33"	1.57629	1.35565	1.73686
"AML34"	1.75462	1.30904	0.92629
"AML35"	1.05371	1.33721	1.21756
"AML36"	1.82829	0.95842	1.97669
"AML37"	1.4571	1.25814	1.5558
