"","Sequence","mcg","gvh","alm","mit","erl","pox","vac","nuc","class"
"6","AATC_YEAST",0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,1
"10","ABP1_YEAST",0.4,0.39,0.6,0.15,0.5,0,0.58,0.3,1
"13","ACH1_YEAST",0.4,0.42,0.57,0.35,0.5,0,0.53,0.25,1
"16","ACT_YEAST",0.46,0.44,0.52,0.11,0.5,0,0.5,0.22,1
"17","ACT2_YEAST",0.47,0.39,0.5,0.11,0.5,0,0.49,0.4,1
"21","C1TC_YEAST",0.45,0.4,0.5,0.16,0.5,0,0.5,0.22,1
"22","PUR4_YEAST",0.43,0.44,0.48,0.22,0.5,0,0.51,0.22,1
"23","PUR3_YEAST",0.73,0.63,0.42,0.3,0.5,0,0.49,0.22,1
"24","ADH1_YEAST",0.43,0.53,0.52,0.13,0.5,0,0.55,0.22,1
"25","ADH2_YEAST",0.46,0.53,0.52,0.15,0.5,0,0.58,0.22,1
"27","ADH4_YEAST",0.59,0.45,0.53,0.19,0.5,0,0.59,0.27,1
"28","KAD1_YEAST",0.57,0.47,0.6,0.18,0.5,0,0.51,0.22,1
"33","AFR1_YEAST",0.38,0.61,0.61,0.12,0.5,0,0.53,0.47,1
"38","SYAC_YEAST",0.4,0.45,0.57,0.18,0.5,0,0.56,0.26,1
"51","ADB2_YEAST",0.48,0.39,0.51,0.21,0.5,0,0.52,0.28,1
"54","ARD1_YEAST",0.56,0.48,0.58,0.27,0.5,0,0.51,0.22,1
"55","ARF1_YEAST",0.64,0.59,0.56,0.23,0.5,0,0.46,0.22,1
"56","ARF2_YEAST",0.64,0.56,0.56,0.22,0.5,0,0.45,0.22,1
"57","ASSY_YEAST",0.66,0.62,0.49,0.1,0.5,0,0.49,0.22,1
"58","OTC_YEAST",0.53,0.44,0.51,0.33,0.5,0,0.55,0.22,1
"59","ARLY_YEAST",0.38,0.49,0.53,0.19,0.5,0,0.5,0.22,1
"65","ARO1_YEAST",0.54,0.48,0.44,0.08,0.5,0,0.52,0.27,1
"66","AROC_YEAST",0.6,0.47,0.45,0.22,0.5,0,0.51,0.29,1
"67","AROF_YEAST",0.34,0.46,0.57,0.09,0.5,0,0.55,0.22,1
"68","AROG_YEAST",0.48,0.54,0.55,0.12,0.5,0,0.51,0.22,1
"69","CHMU_YEAST",0.47,0.39,0.59,0.15,0.5,0,0.57,0.22,1
"71","AST1_YEAST",0.48,0.42,0.52,0.24,0.5,0,0.56,0.22,1
"72","ATE1_YEAST",0.58,0.51,0.49,0.27,0.5,0,0.57,0.29,1
"90","BCK1_YEAST",0.42,0.47,0.52,0.41,0.5,0,0.53,0.32,1
"91","BCK2_YEAST",0.36,0.46,0.62,0.46,0.5,0,0.51,0.33,1
"93","KAPR_YEAST",0.4,0.45,0.56,0.2,0.5,0,0.45,0.22,1
"95","BEM1_YEAST",0.49,0.61,0.49,0.25,0.5,0,0.5,0.28,1
"100","BIK1_YEAST",0.64,0.57,0.57,0.27,0.5,0,0.37,0.22,1
"103","BUD5_YEAST",0.47,0.52,0.5,0.4,0.5,0,0.41,0.22,1
"105","CAP2_YEAST",0.47,0.39,0.55,0.24,0.5,0,0.47,0.22,1
"107","CAPA_YEAST",0.42,0.35,0.54,0.18,0.5,0,0.56,0.22,1
"108","CAPB_YEAST",0.3,0.56,0.55,0.18,0.5,0,0.5,0.22,1
"109","ARGI_YEAST",0.65,0.65,0.52,0.16,0.5,0,0.6,0.22,1
"110","OAT_YEAST",0.27,0.6,0.48,0.23,0.5,0,0.55,0.22,1
"130","CTPT_YEAST",0.41,0.4,0.59,0.47,0.5,0,0.48,0.43,1
"131","CC10_YEAST",0.5,0.64,0.57,0.15,0.5,0,0.47,0.22,1
"132","CC11_YEAST",0.4,0.62,0.52,0.31,0.5,0,0.49,0.31,1
"133","CC12_YEAST",0.6,0.5,0.57,0.25,0.5,0,0.41,0.26,1
"136","CC24_YEAST",0.34,0.54,0.5,0.21,0.5,0,0.54,0.31,1
"139","CDC3_YEAST",0.29,0.32,0.58,0.15,0.5,0,0.5,0.3,1
"141","IF4E_YEAST",0.39,0.47,0.56,0.16,0.5,0,0.47,0.22,1
"145","CC4_YEAST",0.43,0.57,0.53,0.16,0.5,0,0.54,0.22,1
"147","CC42_YEAST",0.59,0.48,0.5,0.14,0.5,0,0.45,0.25,1
"148","CAL1_YEAST",0.39,0.55,0.48,0.31,0.5,0,0.54,0.29,1
"152","CC48_YEAST",0.44,0.39,0.53,0.14,0.5,0,0.54,0.44,1
"154","SYLC_YEAST",0.45,0.43,0.51,0.24,0.5,0,0.54,0.33,1
"157","KTHY_YEAST",0.42,0.43,0.56,0.1,0.5,0,0.49,0.22,1
"161","RLUB_YEAST",0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,1
"162","RLUB_YEAST",0.4,0.42,0.71,0.21,0.5,0,0.54,0.32,1
"163","CLH_YEAST",0.54,0.49,0.49,0.2,0.5,0,0.52,0.22,1
"172","CIN1_YEAST",0.48,0.61,0.44,0.2,0.5,0,0.47,0.22,1
"173","CIN4_YEAST",0.66,0.45,0.5,0.23,0.5,0,0.49,0.22,1
"174","CIN8_YEAST",0.21,0.41,0.55,0.11,0.5,0,0.5,0.27,1
"180","KICH_YEAST",0.39,0.4,0.53,0.67,0.5,0,0.47,0.22,1
"181","CLC1_YEAST",0.24,0.34,0.69,0.18,0.5,0,0.52,0.22,1
"182","CG11_YEAST",0.49,0.43,0.51,0.13,0.5,0,0.47,0.22,1
"183","CG12_YEAST",0.54,0.38,0.52,0.18,0.5,0,0.48,0.22,1
"184","CG13_YEAST",0.43,0.57,0.53,0.53,0.5,0,0.53,0.25,1
"185","CALM_YEAST",0.48,0.64,0.61,0.23,0.5,0,0.6,0.22,1
"186","KCC1_YEAST",0.31,0.55,0.52,0.17,0.5,0,0.52,0.22,1
"187","KCC2_YEAST",0.32,0.57,0.5,0.15,0.5,0,0.53,0.22,1
"188","P2B1_YEAST",0.32,0.42,0.52,0.24,0.5,0,0.6,0.22,1
"189","P2B2_YEAST",0.59,0.5,0.52,0.28,0.5,0,0.55,0.25,1
"190","CALB_YEAST",0.37,0.42,0.51,0.11,0.5,0,0.57,0.22,1
"193","COFI_YEAST",0.44,0.42,0.6,0.21,0.5,0,0.57,0.22,1
"214","CARA_YEAST",0.53,0.51,0.46,0.28,0.5,0,0.48,0.22,1
"215","CARB_YEAST",0.35,0.66,0.49,0.21,0.5,0,0.54,0.25,1
"216","CYPH_YEAST",0.52,0.4,0.6,0.12,0.5,0,0.55,0.22,1
"224","R141_YEAST",0.57,0.41,0.59,0.24,0.5,0,0.4,0.22,1
"225","R142_YEAST",0.56,0.41,0.58,0.21,0.5,0,0.42,0.22,1
"236","CATT_YEAST",0.41,0.51,0.58,0.15,0.5,0,0.45,0.27,1
"237","MTC_YEAST",0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,1
"238","MTC_YEAST",0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,1
"244","RL2A_YEAST",0.45,0.27,0.57,0.36,0.5,0,0.52,0.18,1
"245","CYAA_YEAST",0.2,0.26,0.52,0.14,0.5,0,0.53,0.44,1
"246","CYS3_YEAST",0.51,0.53,0.55,0.14,0.5,0,0.51,0.22,1
"262","DEP1_YEAST",0.38,0.48,0.59,0.22,0.5,0,0.46,0.22,1
"263","DYR_YEAST",0.8,0.46,0.5,0.15,0.5,0,0.53,0.22,1
"271","SYDC_YEAST",0.46,0.35,0.53,0.16,0.5,0,0.51,0.29,1
"274","DSS4_YEAST",0.56,0.52,0.55,0.19,0.5,0,0.54,0.22,1
"278","EF1B_YEAST",0.39,0.45,0.53,0.18,0.5,0,0.54,0.22,1
"279","EF2_YEAST",0.52,0.54,0.5,0.21,0.5,0,0.48,0.3,1
"283","END3_YEAST",0.55,0.46,0.53,0.11,0.5,0,0.52,0.48,1
"284","ENO1_YEAST",0.45,0.56,0.54,0.32,0.5,0,0.57,0.22,1
"285","ENO2_YEAST",0.45,0.56,0.53,0.32,0.5,0,0.57,0.22,1
"290","THIL_YEAST",0.54,0.65,0.49,0.34,0.5,0,0.52,0.22,1
"292","KIME_YEAST",0.59,0.58,0.46,0.19,0.5,0,0.56,0.27,1
"294","FPPS_YEAST",0.55,0.56,0.45,0.14,0.5,0,0.54,0.22,1
"298","ERG6_YEAST",0.32,0.47,0.55,0.12,0.5,0,0.52,0.22,1
"300","ERG8_YEAST",0.62,0.58,0.46,0.13,0.5,0,0.53,0.22,1
"307","LCF2_YEAST",0.35,0.46,0.49,0.15,1,0,0.55,0.35,1
"308","FAD1_YEAST",0.43,0.51,0.48,0.14,0.5,0,0.5,0.22,1
"309","FAS1_YEAST",0.57,0.61,0.45,0.26,0.5,0,0.5,0.22,1
"310","FAS2_YEAST",0.63,0.62,0.42,0.12,0.5,0,0.52,0.25,1
"311","COAC_YEAST",0.25,0.4,0.51,0.18,0.5,0,0.5,0.27,1
"312","ALF_YEAST",0.56,0.62,0.53,0.24,0.5,0,0.57,0.22,1
"313","F16P_YEAST",0.58,0.6,0.51,0.24,0.5,0,0.53,0.22,1
"314","F26_YEAST",0.71,0.59,0.53,0.15,0.5,0,0.49,0.33,1
"322","FKBP_YEAST",0.35,0.36,0.57,0.17,0.5,0,0.52,0.22,1
"328","SYFA_YEAST",0.45,0.4,0.56,0.14,0.5,0,0.54,0.22,1
"329","SYFB_YEAST",0.47,0.47,0.58,0.16,0.5,0,0.49,0.28,1
"330","FUMH_YEAST",0.41,0.39,0.51,0.52,0.5,0,0.49,0.22,1
"332","FUR1_YEAST",0.69,0.6,0.5,0.31,0.5,0,0.55,0.22,1
"335","FUS3_YEAST",0.51,0.58,0.54,0.29,0.5,0,0.53,0.22,1
"337","GAC1_YEAST",0.55,0.66,0.57,0.32,0.5,0,0.57,0.34,1
"338","GAL1_YEAST",0.48,0.35,0.42,0.21,0.5,0,0.57,0.22,1
"339","GALX_YEAST",0.62,0.58,0.52,0.15,0.5,0,0.52,0.29,1
"343","GAL7_YEAST",0.5,0.5,0.48,0.17,0.5,0,0.47,0.26,1
"349","E2BG_YEAST",0.45,0.42,0.52,0.2,0.5,0,0.5,0.25,1
"350","IF2G_YEAST",0.51,0.35,0.46,0.15,0.5,0,0.51,0.42,1
